"Date","DFEDTARL","DFEDTARU","IORR","sdate","weekday"
"8/14/2017",25,50,50,2017-08-14,"Monday"
"8/15/2017",25,50,50,2017-08-15,"Tuesday"
"8/16/2017",25,50,50,2017-08-16,"Wednesday"
"8/17/2017",25,50,50,2017-08-17,"Thursday"
"8/18/2017",25,50,50,2017-08-18,"Friday"
"8/21/2017",25,50,50,2017-08-21,"Monday"
"8/22/2017",25,50,50,2017-08-22,"Tuesday"
"8/23/2017",25,50,50,2017-08-23,"Wednesday"
"8/24/2017",25,50,50,2017-08-24,"Thursday"
"8/25/2017",25,50,50,2017-08-25,"Friday"
"8/28/2017",25,50,50,2017-08-28,"Monday"
"8/29/2017",25,50,50,2017-08-29,"Tuesday"
"8/30/2017",25,50,50,2017-08-30,"Wednesday"
"8/31/2017",25,50,50,2017-08-31,"Thursday"
"9/1/2017",25,50,50,2017-09-01,"Friday"
"9/4/2017",25,50,50,2017-09-04,"Monday"
"9/5/2017",25,50,50,2017-09-05,"Tuesday"
"9/6/2017",25,50,50,2017-09-06,"Wednesday"
"9/7/2017",25,50,50,2017-09-07,"Thursday"
"9/8/2017",25,50,50,2017-09-08,"Friday"
"9/11/2017",25,50,50,2017-09-11,"Monday"
"9/12/2017",25,50,50,2017-09-12,"Tuesday"
"9/13/2017",25,50,50,2017-09-13,"Wednesday"
"9/14/2017",25,50,50,2017-09-14,"Thursday"
"9/15/2017",25,50,50,2017-09-15,"Friday"
"9/18/2017",25,50,50,2017-09-18,"Monday"
"9/19/2017",25,50,50,2017-09-19,"Tuesday"
"9/20/2017",25,50,50,2017-09-20,"Wednesday"
"9/21/2017",25,50,50,2017-09-21,"Thursday"
"9/22/2017",25,50,50,2017-09-22,"Friday"
"9/25/2017",25,50,50,2017-09-25,"Monday"
"9/26/2017",25,50,50,2017-09-26,"Tuesday"
"9/27/2017",25,50,50,2017-09-27,"Wednesday"
"9/28/2017",25,50,50,2017-09-28,"Thursday"
"9/29/2017",25,50,50,2017-09-29,"Friday"
"10/2/2017",25,50,50,2017-10-02,"Monday"
"10/3/2017",25,50,50,2017-10-03,"Tuesday"
"10/4/2017",25,50,50,2017-10-04,"Wednesday"
"10/5/2017",25,50,50,2017-10-05,"Thursday"
"10/6/2017",25,50,50,2017-10-06,"Friday"
"10/9/2017",25,50,50,2017-10-09,"Monday"
"10/10/2017",25,50,50,2017-10-10,"Tuesday"
"10/11/2017",25,50,50,2017-10-11,"Wednesday"
"10/12/2017",25,50,50,2017-10-12,"Thursday"
"10/13/2017",25,50,50,2017-10-13,"Friday"
"10/16/2017",25,50,50,2017-10-16,"Monday"
"10/17/2017",25,50,50,2017-10-17,"Tuesday"
"10/18/2017",25,50,50,2017-10-18,"Wednesday"
"10/19/2017",25,50,50,2017-10-19,"Thursday"
"10/20/2017",25,50,50,2017-10-20,"Friday"
"10/23/2017",25,50,50,2017-10-23,"Monday"
"10/24/2017",25,50,50,2017-10-24,"Tuesday"
"10/25/2017",25,50,50,2017-10-25,"Wednesday"
"10/26/2017",25,50,50,2017-10-26,"Thursday"
"10/27/2017",25,50,50,2017-10-27,"Friday"
"10/30/2017",25,50,50,2017-10-30,"Monday"
"10/31/2017",25,50,50,2017-10-31,"Tuesday"
"11/1/2017",25,50,50,2017-11-01,"Wednesday"
"11/2/2017",25,50,50,2017-11-02,"Thursday"
"11/3/2017",25,50,50,2017-11-03,"Friday"
"11/6/2017",25,50,50,2017-11-06,"Monday"
"11/7/2017",25,50,50,2017-11-07,"Tuesday"
"11/8/2017",25,50,50,2017-11-08,"Wednesday"
"11/9/2017",25,50,50,2017-11-09,"Thursday"
"11/10/2017",25,50,50,2017-11-10,"Friday"
"11/13/2017",25,50,50,2017-11-13,"Monday"
"11/14/2017",25,50,50,2017-11-14,"Tuesday"
"11/15/2017",25,50,50,2017-11-15,"Wednesday"
"11/16/2017",25,50,50,2017-11-16,"Thursday"
"11/17/2017",25,50,50,2017-11-17,"Friday"
"11/20/2017",25,50,50,2017-11-20,"Monday"
"11/21/2017",25,50,50,2017-11-21,"Tuesday"
"11/22/2017",25,50,50,2017-11-22,"Wednesday"
"11/23/2017",25,50,50,2017-11-23,"Thursday"
"11/24/2017",25,50,50,2017-11-24,"Friday"
"11/27/2017",25,50,50,2017-11-27,"Monday"
"11/28/2017",25,50,50,2017-11-28,"Tuesday"
"11/29/2017",25,50,50,2017-11-29,"Wednesday"
"11/30/2017",25,50,50,2017-11-30,"Thursday"
"12/1/2017",25,50,50,2017-12-01,"Friday"
"12/4/2017",25,50,50,2017-12-04,"Monday"
"12/5/2017",25,50,50,2017-12-05,"Tuesday"
"12/6/2017",25,50,50,2017-12-06,"Wednesday"
"12/7/2017",25,50,50,2017-12-07,"Thursday"
"12/8/2017",25,50,50,2017-12-08,"Friday"
"12/11/2017",25,50,50,2017-12-11,"Monday"
"12/12/2017",25,50,50,2017-12-12,"Tuesday"
"12/13/2017",25,50,50,2017-12-13,"Wednesday"
"12/14/2017",25,50,50,2017-12-14,"Thursday"
"12/15/2017",25,50,50,2017-12-15,"Friday"
"12/18/2017",25,50,50,2017-12-18,"Monday"
"12/19/2017",25,50,50,2017-12-19,"Tuesday"
"12/20/2017",25,50,50,2017-12-20,"Wednesday"
"12/21/2017",25,50,50,2017-12-21,"Thursday"
"12/22/2017",25,50,50,2017-12-22,"Friday"
"12/25/2017",25,50,50,2017-12-25,"Monday"
"12/26/2017",25,50,50,2017-12-26,"Tuesday"
"12/27/2017",25,50,50,2017-12-27,"Wednesday"
"12/28/2017",25,50,50,2017-12-28,"Thursday"
"12/29/2017",25,50,50,2017-12-29,"Friday"
"1/1/2018",25,50,50,2018-01-01,"Monday"
"1/2/2018",25,50,50,2018-01-02,"Tuesday"
"1/3/2018",25,50,50,2018-01-03,"Wednesday"
"1/4/2018",25,50,50,2018-01-04,"Thursday"
"1/5/2018",25,50,50,2018-01-05,"Friday"
"1/8/2018",25,50,50,2018-01-08,"Monday"
"1/9/2018",25,50,50,2018-01-09,"Tuesday"
"1/10/2018",25,50,50,2018-01-10,"Wednesday"
"1/11/2018",25,50,50,2018-01-11,"Thursday"
"1/12/2018",25,50,50,2018-01-12,"Friday"
"1/15/2018",25,50,50,2018-01-15,"Monday"
"1/16/2018",25,50,50,2018-01-16,"Tuesday"
"1/17/2018",25,50,50,2018-01-17,"Wednesday"
"1/18/2018",25,50,50,2018-01-18,"Thursday"
"1/19/2018",25,50,50,2018-01-19,"Friday"
"1/22/2018",25,50,50,2018-01-22,"Monday"
"1/23/2018",25,50,50,2018-01-23,"Tuesday"
"1/24/2018",25,50,50,2018-01-24,"Wednesday"
"1/25/2018",25,50,50,2018-01-25,"Thursday"
