Date,Reference,Rate,,,,,,dontknow,
12/19/2001,EFFR,1.71,,,,,,1.75,
12/20/2001,EFFR,1.79,,,,,,1.75,
12/21/2001,EFFR,1.78,,,,,,1.75,
12/24/2001,EFFR,1.68,,,,,,1.75,
12/26/2001,EFFR,1.89,,,,,,1.75,
12/27/2001,EFFR,1.85,,,,,,1.75,
12/28/2001,EFFR,1.54,,,,,,1.75,
12/31/2001,EFFR,1.52,,,,,,1.75,
1/2/2002,EFFR,1.92,,,,,,1.75,
1/3/2002,EFFR,1.72,,,,,,1.75,
1/4/2002,EFFR,1.61,,,,,,1.75,
1/7/2002,EFFR,1.61,,,,,,1.75,
1/8/2002,EFFR,1.61,,,,,,1.75,
1/9/2002,EFFR,1.74,,,,,,1.75,
1/10/2002,EFFR,1.81,,,,,,1.75,
1/11/2002,EFFR,1.71,,,,,,1.75,
1/14/2002,EFFR,1.78,,,,,,1.75,
1/15/2002,EFFR,1.75,,,,,,1.75,
1/16/2002,EFFR,1.69,,,,,,1.75,
1/17/2002,EFFR,1.68,,,,,,1.75,
1/18/2002,EFFR,1.71,,,,,,1.75,
1/22/2002,EFFR,1.84,,,,,,1.75,
1/23/2002,EFFR,1.81,,,,,,1.75,
1/24/2002,EFFR,1.8,,,,,,1.75,
1/25/2002,EFFR,1.78,,,,,,1.75,
1/28/2002,EFFR,1.79,,,,,,1.75,
1/29/2002,EFFR,1.78,,,,,,1.75,
1/30/2002,EFFR,1.78,,,,,,1.75,
1/31/2002,EFFR,1.85,,,,,,1.75,
2/1/2002,EFFR,1.77,,,,,,1.75,
2/4/2002,EFFR,1.74,,,,,,1.75,
2/5/2002,EFFR,1.64,,,,,,1.75,
2/6/2002,EFFR,1.66,,,,,,1.75,
2/7/2002,EFFR,1.74,,,,,,1.75,
2/8/2002,EFFR,1.69,,,,,,1.75,
2/11/2002,EFFR,1.76,,,,,,1.75,
2/12/2002,EFFR,1.72,,,,,,1.75,
2/13/2002,EFFR,1.75,,,,,,1.75,
2/14/2002,EFFR,1.81,,,,,,1.75,
2/15/2002,EFFR,1.73,,,,,,1.75,
2/19/2002,EFFR,1.77,,,,,,1.75,
2/20/2002,EFFR,1.76,,,,,,1.75,
2/21/2002,EFFR,1.77,,,,,,1.75,
2/22/2002,EFFR,1.71,,,,,,1.75,
2/25/2002,EFFR,1.8,,,,,,1.75,
2/26/2002,EFFR,1.77,,,,,,1.75,
2/27/2002,EFFR,1.76,,,,,,1.75,
2/28/2002,EFFR,1.83,,,,,,1.75,
3/1/2002,EFFR,1.78,,,,,,1.75,
3/4/2002,EFFR,1.68,,,,,,1.75,
3/5/2002,EFFR,1.63,,,,,,1.75,
3/6/2002,EFFR,1.71,,,,,,1.75,
3/7/2002,EFFR,1.77,,,,,,1.75,
3/8/2002,EFFR,1.69,,,,,,1.75,
3/11/2002,EFFR,1.75,,,,,,1.75,
3/12/2002,EFFR,1.68,,,,,,1.75,
3/13/2002,EFFR,1.73,,,,,,1.75,
3/14/2002,EFFR,1.79,,,,,,1.75,
3/15/2002,EFFR,1.8,,,,,,1.75,
3/18/2002,EFFR,1.71,,,,,,1.75,
3/19/2002,EFFR,1.67,,,,,,1.75,
3/20/2002,EFFR,1.78,,,,,,1.75,
3/21/2002,EFFR,1.74,,,,,,1.75,
3/22/2002,EFFR,1.68,,,,,,1.75,
3/25/2002,EFFR,1.75,,,,,,1.75,
3/26/2002,EFFR,1.71,,,,,,1.75,
3/27/2002,EFFR,1.69,,,,,,1.75,
3/28/2002,EFFR,1.77,,,,,,1.75,
3/29/2002,EFFR,1.74,,,,,,1.75,
4/1/2002,EFFR,1.88,,,,,,1.75,
4/2/2002,EFFR,1.74,,,,,,1.75,
4/3/2002,EFFR,1.81,,,,,,1.75,
4/4/2002,EFFR,1.74,,,,,,1.75,
4/5/2002,EFFR,1.7,,,,,,1.75,
4/8/2002,EFFR,1.72,,,,,,1.75,
4/9/2002,EFFR,1.68,,,,,,1.75,
4/10/2002,EFFR,1.73,,,,,,1.75,
4/11/2002,EFFR,1.83,,,,,,1.75,
4/12/2002,EFFR,1.79,,,,,,1.75,
4/15/2002,EFFR,1.84,,,,,,1.75,
4/16/2002,EFFR,1.68,,,,,,1.75,
4/17/2002,EFFR,1.73,,,,,,1.75,
4/18/2002,EFFR,1.71,,,,,,1.75,
4/19/2002,EFFR,1.67,,,,,,1.75,
4/22/2002,EFFR,1.73,,,,,,1.75,
4/23/2002,EFFR,1.71,,,,,,1.75,
4/24/2002,EFFR,1.76,,,,,,1.75,
4/25/2002,EFFR,1.82,,,,,,1.75,
4/26/2002,EFFR,1.79,,,,,,1.75,
4/29/2002,EFFR,1.81,,,,,,1.75,
4/30/2002,EFFR,1.82,,,,,,1.75,
5/1/2002,EFFR,1.88,,,,,,1.75,
5/2/2002,EFFR,1.79,,,,,,1.75,
5/3/2002,EFFR,1.73,,,,,,1.75,
5/6/2002,EFFR,1.75,,,,,,1.75,
5/7/2002,EFFR,1.72,,,,,,1.75,
5/8/2002,EFFR,1.71,,,,,,1.75,
5/9/2002,EFFR,1.74,,,,,,1.75,
5/10/2002,EFFR,1.74,,,,,,1.75,
5/13/2002,EFFR,1.75,,,,,,1.75,
5/14/2002,EFFR,1.69,,,,,,1.75,
5/15/2002,EFFR,1.84,,,,,,1.75,
5/16/2002,EFFR,1.76,,,,,,1.75,
