Date,DFEDTARL,DFEDTARU,IORR,Dater,SOFR,EFFR,RRPONTSYAWARD
12/12/2016,0.25,0.5,0.5,4/19/2017,NA,0.91,0.75
12/13/2016,0.25,0.5,0.5,4/20/2017,NA,0.91,0.75
12/14/2016,0.5,0.75,0.5,4/21/2017,NA,0.91,0.75
12/15/2016,0.5,0.75,0.75,4/24/2017,NA,0.91,0.75
12/16/2016,0.5,0.75,0.75,4/25/2017,NA,0.91,0.75
12/17/2016,0.5,0.75,0.75,4/26/2017,NA,0.91,0.75
12/18/2016,0.5,0.75,0.75,4/27/2017,NA,0.91,0.75
12/19/2016,0.5,0.75,0.75,4/28/2017,NA,0.83,0.75
12/20/2016,0.5,0.75,0.75,5/1/2017,NA,0.91,0.75
12/21/2016,0.5,0.75,0.75,5/2/2017,NA,0.91,0.75
12/22/2016,0.5,0.75,0.75,5/3/2017,NA,0.91,0.75
12/23/2016,0.5,0.75,0.75,5/4/2017,NA,0.91,0.75
12/24/2016,0.5,0.75,0.75,5/5/2017,NA,0.91,0.75
12/25/2016,0.5,0.75,0.75,5/8/2017,NA,0.91,0.75
12/26/2016,0.5,0.75,0.75,5/9/2017,NA,0.91,0.75
12/27/2016,0.5,0.75,0.75,5/10/2017,NA,0.91,0.75
12/28/2016,0.5,0.75,0.75,5/11/2017,NA,0.91,0.75
12/29/2016,0.5,0.75,0.75,5/12/2017,NA,0.91,0.75
12/30/2016,0.5,0.75,0.75,5/15/2017,NA,0.91,0.75
12/31/2016,0.5,0.75,0.75,5/16/2017,NA,0.91,0.75
1/1/2017,0.5,0.75,0.75,5/17/2017,NA,0.91,0.75
1/2/2017,0.5,0.75,0.75,5/18/2017,NA,0.91,0.75
1/3/2017,0.5,0.75,0.75,5/19/2017,NA,0.91,0.75
1/4/2017,0.5,0.75,0.75,5/22/2017,NA,0.91,0.75
1/5/2017,0.5,0.75,0.75,5/23/2017,NA,0.91,0.75
1/6/2017,0.5,0.75,0.75,5/24/2017,NA,0.91,0.75
1/7/2017,0.5,0.75,0.75,5/25/2017,NA,0.91,0.75
1/8/2017,0.5,0.75,0.75,5/26/2017,NA,0.91,0.75
1/9/2017,0.5,0.75,0.75,5/30/2017,NA,0.91,0.75
1/10/2017,0.5,0.75,0.75,5/31/2017,NA,0.83,0.75
1/11/2017,0.5,0.75,0.75,6/1/2017,NA,0.91,0.75
1/12/2017,0.5,0.75,0.75,6/2/2017,NA,0.91,0.75
1/13/2017,0.5,0.75,0.75,6/5/2017,NA,0.91,0.75
1/14/2017,0.5,0.75,0.75,6/6/2017,NA,0.91,0.75
1/15/2017,0.5,0.75,0.75,6/7/2017,NA,0.91,0.75
1/16/2017,0.5,0.75,0.75,6/8/2017,NA,0.91,0.75
1/17/2017,0.5,0.75,0.75,6/9/2017,NA,0.91,0.75
1/18/2017,0.5,0.75,0.75,6/12/2017,NA,0.91,0.75
1/19/2017,0.5,0.75,0.75,6/13/2017,NA,0.91,0.75
1/20/2017,0.5,0.75,0.75,6/14/2017,NA,0.91,0.75
1/21/2017,0.5,0.75,0.75,6/15/2017,NA,1.16,1
